departamento,year,total_homicides,total_population,homicide_rate
VAUPÉS,2022,5,39056,12.802130274477673
VAUPÉS,2023,1,2543,39.32363350373574
VAUPÉS,2024,1,34886,2.8664793900131857
VICHADA,2003,2,13031,15.348016268897245
VICHADA,2004,5,41104,12.164266251459713
VICHADA,2005,2,39334,5.084659582040982
VICHADA,2006,35,57344,61.03515625
VICHADA,2007,21,58885,35.6627324445954
VICHADA,2008,13,56992,22.81021897810219
VICHADA,2009,8,58490,13.677551718242436
VICHADA,2010,24,63670,37.694361551751214
VICHADA,2011,15,61548,24.37122246051862
VICHADA,2012,30,63110,47.53604816986215
VICHADA,2013,17,64698,26.27592815852113
VICHADA,2014,17,66314,25.63561238954067
VICHADA,2015,17,67962,25.013978399693944
VICHADA,2016,15,69626,21.54367621290897
VICHADA,2017,23,54883,41.9073301386586
VICHADA,2018,22,107808,20.406648857227665
VICHADA,2019,20,101212,19.76050270718887
VICHADA,2020,17,110906,15.32829603447965
VICHADA,2021,11,113903,9.657340017383213
VICHADA,2022,18,116467,15.455021594099616
VICHADA,2023,15,123304,12.165055472652956
VICHADA,2024,11,120837,9.103172041675977
